uuid,stkcd,date
0,1,20250605
1,2,20250604
2,2,20250605
3,4,20250604
4,10,20250604
5,10,20250606
6,11,20250603
7,12,20250604
8,16,20250603
9,21,20250605
10,26,20250605
11,27,20250606
12,29,20250605
13,34,20250604
14,34,20250606
15,36,20250604
16,37,20250604
17,39,20250604
18,50,20250604
19,56,20250603
20,60,20250603
21,61,20250605
22,62,20250603
23,62,20250604
24,63,20250605
25,65,20250603
26,68,20250604
27,89,20250603
28,90,20250604
29,100,20250603
30,100,20250604
31,100,20250606
32,156,20250605
33,157,20250605
34,166,20250606
35,333,20250603
36,333,20250604
37,333,20250606
38,338,20250604
39,400,20250603
40,401,20250604
41,401,20250605
42,402,20250604
43,402,20250606
44,403,20250603
45,403,20250606
46,404,20250603
47,404,20250604
48,408,20250604
49,410,20250604
50,411,20250604
51,415,20250603
52,415,20250606
53,422,20250603
54,422,20250605
55,422,20250606
56,425,20250604
57,426,20250603
58,498,20250603
59,498,20250604
60,498,20250605
61,498,20250606
62,501,20250605
63,503,20250606
64,505,20250603
65,505,20250604
66,506,20250603
67,506,20250604
68,507,20250605
69,507,20250606
70,513,20250604
71,518,20250605
72,521,20250605
73,526,20250604
74,526,20250605
75,526,20250606
76,528,20250604
77,529,20250604
78,534,20250603
79,534,20250605
80,536,20250603
81,537,20250604
82,539,20250605
83,543,20250603
84,544,20250604
85,546,20250603
86,548,20250605
87,550,20250604
88,552,20250605
89,554,20250604
90,555,20250603
91,555,20250605
92,557,20250603
93,558,20250606
94,559,20250603
95,559,20250606
96,561,20250603
97,566,20250604
98,567,20250603
99,568,20250605
100,571,20250604
101,573,20250606
102,581,20250604
103,582,20250605
104,590,20250604
105,591,20250606
106,592,20250604
107,592,20250606
108,595,20250603
109,597,20250605
110,598,20250603
111,600,20250606
112,601,20250603
113,615,20250606
114,620,20250605
115,622,20250603
116,623,20250604
117,625,20250603
118,625,20250605
119,626,20250605
120,629,20250605
121,630,20250604
122,631,20250603
123,631,20250604
124,632,20250604
125,636,20250605
126,638,20250603
127,651,20250604
128,657,20250603
129,661,20250604
130,661,20250605
131,670,20250606
132,680,20250604
133,680,20250605
134,681,20250603
135,685,20250606
136,686,20250606
137,691,20250603
138,692,20250604
139,695,20250605
140,697,20250606
141,700,20250604
142,702,20250606
143,703,20250604
144,708,20250603
145,710,20250606
146,712,20250603
147,712,20250606
148,715,20250603
149,719,20250604
150,723,20250606
151,725,20250603
152,725,20250604
153,725,20250606
154,729,20250603
155,731,20250604
156,736,20250606
157,739,20250603
158,739,20250604
159,739,20250606
160,756,20250606
161,758,20250604
162,758,20250605
163,761,20250604
164,762,20250603
165,766,20250603
166,768,20250605
167,776,20250603
168,776,20250604
169,776,20250605
170,776,20250606
171,778,20250603
172,778,20250605
173,778,20250606
174,779,20250604
175,779,20250605
176,783,20250606
177,785,20250604
178,786,20250603
179,786,20250606
180,789,20250603
181,798,20250603
182,799,20250605
183,801,20250605
184,801,20250606
185,803,20250604
186,810,20250606
187,813,20250604
188,818,20250606
189,819,20250604
190,821,20250605
191,826,20250603
192,826,20250606
193,829,20250604
194,833,20250606
195,837,20250604
196,848,20250604
197,851,20250606
198,852,20250604
199,868,20250603
200,869,20250605
201,877,20250603
202,880,20250606
203,882,20250603
204,882,20250606
205,886,20250604
206,888,20250605
207,889,20250603
208,892,20250605
209,893,20250606
210,898,20250604
211,900,20250603
212,905,20250604
213,905,20250606
214,908,20250605
215,908,20250606
216,912,20250604
217,915,20250604
218,917,20250605
219,919,20250603
220,921,20250603
221,925,20250604
222,926,20250604
223,928,20250606
224,929,20250605
225,929,20250606
226,932,20250604
227,932,20250605
228,933,20250604
229,935,20250604
230,935,20250606
231,937,20250603
232,937,20250606
233,938,20250605
234,949,20250604
235,952,20250605
236,955,20250604
237,957,20250603
238,957,20250606
239,960,20250605
240,963,20250603
241,966,20250604
242,967,20250605
243,968,20250606
244,975,20250604
245,978,20250606
246,980,20250603
247,981,20250604
248,981,20250606
249,987,20250605
250,987,20250606
251,988,20250604
252,989,20250605
253,990,20250604
254,993,20250605
255,995,20250604
256,997,20250604
257,1202,20250603
258,1202,20250604
259,1202,20250606
260,1203,20250605
261,1203,20250606
262,1205,20250604
263,1205,20250605
264,1206,20250604
265,1207,20250606
266,1208,20250604
267,1211,20250604
268,1212,20250603
269,1212,20250604
270,1212,20250606
271,1213,20250604
272,1215,20250604
273,1216,20250606
274,1226,20250604
275,1227,20250605
276,1228,20250604
277,1230,20250606
278,1236,20250606
279,1258,20250603
280,1258,20250605
281,1258,20250606
282,1266,20250604
283,1267,20250605
284,1269,20250604
285,1270,20250603
286,1279,20250604
287,1283,20250604
288,1283,20250605
289,1283,20250606
290,1287,20250605
291,1288,20250603
292,1288,20250605
293,1301,20250603
294,1301,20250604
295,1313,20250604
296,1314,20250604
297,1318,20250606
298,1322,20250604
299,1323,20250603
300,1323,20250604
301,1324,20250603
302,1326,20250605
303,1333,20250605
304,1335,20250605
305,1356,20250604
306,1373,20250605
307,1378,20250604
308,1378,20250605
309,1380,20250604
310,1382,20250605
311,1389,20250603
312,1390,20250605
313,1872,20250605
314,1914,20250605
315,1965,20250604
316,1979,20250603
317,1979,20250604
318,1979,20250605
319,2001,20250604
320,2004,20250604
321,2008,20250604
322,2008,20250606
323,2009,20250603
324,2017,20250604
325,2017,20250606
326,2019,20250605
327,2020,20250604
328,2021,20250603
329,2023,20250604
330,2025,20250604
331,2026,20250604
332,2026,20250605
333,2029,20250604
334,2029,20250606
335,2031,20250603
336,2032,20250604
337,2034,20250604
338,2039,20250603
339,2046,20250605
340,2048,20250604
341,2049,20250603
342,2049,20250605
343,2050,20250605
344,2051,20250603
345,2055,20250604
346,2055,20250605
347,2056,20250603
348,2058,20250605
349,2060,20250603
350,2060,20250604
351,2062,20250606
352,2067,20250604
353,2069,20250606
354,2074,20250605
355,2077,20250604
356,2079,20250606
357,2082,20250604
358,2084,20250604
359,2086,20250603
360,2090,20250605
361,2091,20250605
362,2096,20250606
363,2099,20250604
364,2101,20250606
365,2102,20250604
366,2102,20250606
367,2104,20250603
368,2108,20250604
369,2109,20250606
370,2110,20250604
371,2111,20250605
372,2114,20250604
373,2114,20250605
374,2120,20250605
375,2120,20250606
376,2124,20250603
377,2124,20250604
378,2126,20250604
379,2127,20250604
380,2130,20250604
381,2130,20250605
382,2132,20250604
383,2133,20250604
384,2136,20250603
385,2138,20250603
386,2141,20250604
387,2145,20250603
388,2145,20250604
389,2145,20250606
390,2146,20250603
391,2152,20250606
392,2153,20250605
393,2153,20250606
394,2154,20250603
395,2163,20250603
396,2165,20250603
397,2166,20250603
398,2171,20250603
399,2174,20250606
400,2177,20250603
401,2177,20250606
402,2179,20250605
403,2180,20250604
404,2180,20250605
405,2181,20250603
406,2183,20250605
407,2187,20250605
408,2189,20250605
409,2192,20250604
410,2194,20250606
411,2195,20250603
412,2198,20250604
413,2199,20250605
414,2200,20250605
415,2200,20250606
416,2201,20250604
417,2202,20250603
418,2202,20250604
419,2202,20250605
420,2205,20250603
421,2206,20250604
422,2206,20250606
423,2213,20250606
424,2216,20250604
425,2217,20250603
426,2217,20250606
427,2218,20250603
428,2224,20250603
429,2225,20250606
430,2228,20250604
431,2235,20250603
432,2236,20250603
433,2236,20250604
434,2237,20250604
435,2237,20250605
436,2241,20250603
437,2241,20250605
438,2241,20250606
439,2246,20250603
440,2249,20250604
441,2250,20250604
442,2252,20250604
443,2253,20250603
444,2254,20250604
445,2258,20250605
446,2261,20250605
447,2262,20250605
448,2264,20250603
449,2265,20250605
450,2269,20250605
451,2270,20250604
452,2271,20250606
453,2276,20250605
454,2276,20250606
455,2278,20250606
456,2282,20250604
457,2283,20250604
458,2284,20250604
459,2287,20250604
460,2287,20250606
461,2289,20250606
462,2291,20250604
