uuid,stkcd,date,clpr,clpr_next,label
0,1,20250522,11.55,11.46,down
1,2,20250507,6.9,6.88,down
2,2,20250508,6.88,6.78,down
3,2,20250512,6.85,6.86,up
4,2,20250515,6.79,6.77,down
5,2,20250516,6.77,6.8,up
6,2,20250522,6.67,6.63,down
7,2,20250529,6.7,6.64,down
8,2,20250530,6.64,6.58,down
9,4,20250506,7.57,7.73,up
10,4,20250507,7.73,7.49,down
11,4,20250514,8.48,8.7,up
12,4,20250520,9.02,9.47,up
13,4,20250521,9.47,9.4,down
14,4,20250522,9.4,9.09,down
15,4,20250527,10.02,9.94,down
16,4,20250528,9.94,9.89,down
17,4,20250529,9.89,10.38,up
18,6,20250506,6.46,6.56,up
19,6,20250523,6.76,6.89,up
20,7,20250513,7.29,7.28,down
21,7,20250517,7.32,7.44,up
22,8,20250508,2.81,2.75,down
23,8,20250513,2.89,2.87,down
24,8,20250530,2.8,2.8,up
25,9,20250530,8.02,7.93,down
26,10,20250517,2.89,2.93,up
27,10,20250522,2.89,2.81,down
28,10,20250523,2.81,2.88,up
29,10,20250527,2.94,2.89,down
30,11,20250510,8.39,8.33,down
31,12,20250508,4.83,4.79,down
32,12,20250530,4.69,4.65,down
33,16,20250509,5.39,5.32,down
34,16,20250512,5.32,5.3,down
35,16,20250521,5.35,5.07,down
36,17,20250510,6.51,6.47,down
37,19,20250516,6.71,6.88,up
38,19,20250521,6.86,6.78,down
39,20,20250513,12.0,11.9,down
40,20,20250516,11.9,12.15,up
41,21,20250509,18.18,18.45,up
42,21,20250510,18.18,18.45,up
43,21,20250522,17.64,17.39,down
44,25,20250520,18.07,18.45,up
45,25,20250523,17.8,17.95,up
46,26,20250521,12.93,13.13,up
47,27,20250508,6.47,6.59,up
48,27,20250521,6.55,6.48,down
49,27,20250522,6.48,6.41,down
50,27,20250527,6.43,6.46,up
51,27,20250529,6.52,6.5,down
52,28,20250530,25.33,25.57,up
53,29,20250513,17.19,17.18,down
54,29,20250523,17.95,17.75,down
55,30,20250509,6.13,6.15,up
56,30,20250516,6.24,6.23,down
57,30,20250523,6.18,6.18,up
58,31,20250509,2.62,2.62,up
59,31,20250521,2.65,2.61,down
60,31,20250522,2.61,2.57,down
61,32,20250513,22.21,22.38,up
62,32,20250514,22.38,21.04,down
63,32,20250515,21.04,21.25,up
64,32,20250517,21.25,21.29,up
65,32,20250522,20.17,19.9,down
66,32,20250523,19.9,20.09,up
67,32,20250530,19.43,19.62,up
68,34,20250507,41.7,42.28,up
69,34,20250509,41.08,41.11,up
70,34,20250513,40.59,40.74,up
71,34,20250514,40.74,39.21,down
72,34,20250515,39.21,39.19,down
73,34,20250516,39.19,38.71,down
74,34,20250521,40.93,39.34,down
75,34,20250522,39.34,37.76,down
76,34,20250527,37.29,36.79,down
77,34,20250530,37.09,36.95,down
78,35,20250513,4.5,4.47,down
79,35,20250520,4.45,4.43,down
80,35,20250527,4.35,4.37,up
81,36,20250508,3.7,3.62,down
82,36,20250515,3.52,3.51,down
83,36,20250523,3.56,3.54,down
84,36,20250530,3.55,3.51,down
85,37,20250507,8.56,8.6,up
86,37,20250517,8.58,8.64,up
87,37,20250523,8.37,8.62,up
88,37,20250529,9.46,9.29,down
89,39,20250507,7.72,7.79,up
90,39,20250510,7.69,7.99,up
91,39,20250516,8.22,8.11,down
92,39,20250519,8.11,8.08,down
93,39,20250520,8.08,8.05,down
94,39,20250523,7.92,7.81,down
95,42,20250513,6.73,6.75,up
96,42,20250515,6.83,6.76,down
97,42,20250517,6.76,6.86,up
98,45,20250520,10.69,10.44,down
99,45,20250522,10.31,10.12,down
100,48,20250508,15.79,16.11,up
101,48,20250517,17.42,17.63,up
102,49,20250508,21.56,21.53,down
103,49,20250514,21.97,21.64,down
104,49,20250520,21.9,22.06,up
105,49,20250522,21.67,21.56,down
106,50,20250513,8.4,8.41,up
107,55,20250513,4.11,4.13,up
108,55,20250520,4.18,4.21,up
109,56,20250509,3.2,3.22,up
110,56,20250520,3.19,3.14,down
111,58,20250508,8.48,8.32,down
112,58,20250514,8.24,8.16,down
113,58,20250520,8.49,8.6,up
114,59,20250508,5.37,5.24,down
115,59,20250510,5.24,5.37,up
116,60,20250509,4.53,4.58,up
117,61,20250515,6.57,6.51,down
118,61,20250516,6.51,6.61,up
119,61,20250521,6.62,6.48,down
120,61,20250528,6.36,6.37,up
121,62,20250506,28.18,28.9,up
122,62,20250510,28.65,28.8,up
123,62,20250529,25.7,24.98,down
124,63,20250508,33.06,32.51,down
125,65,20250527,10.52,10.51,down
126,65,20250530,10.4,10.33,down
127,66,20250514,14.97,14.57,down
128,69,20250515,2.4,2.38,down
129,69,20250530,2.37,2.33,down
130,70,20250514,6.4,6.4,up
131,70,20250521,6.65,6.61,down
132,78,20250521,2.41,2.37,down
133,88,20250516,4.88,5.37,up
134,88,20250521,5.03,4.88,down
135,88,20250522,4.88,4.7,down
136,88,20250523,4.7,4.69,down
137,88,20250528,4.66,4.69,up
138,89,20250510,6.85,6.93,up
139,89,20250513,6.96,7.02,up
140,90,20250530,3.53,3.53,up
141,96,20250521,16.87,17.28,up
142,96,20250530,14.54,14.11,down
143,99,20250515,22.66,22.64,down
144,100,20250507,4.26,4.26,up
145,100,20250520,4.38,4.37,down
146,100,20250521,4.37,4.36,down
147,100,20250524,4.3,4.42,up
148,100,20250527,4.42,4.39,down
149,100,20250530,4.28,4.27,down
150,151,20250506,14.05,13.95,down
151,151,20250516,14.31,14.9,up
152,151,20250520,14.31,14.9,up
153,151,20250523,14.31,14.9,up
154,151,20250528,14.9,14.1,down
155,151,20250530,12.84,12.95,up
156,153,20250507,5.93,5.95,up
157,153,20250509,5.92,5.9,down
158,153,20250522,6.06,6.05,down
159,155,20250510,10.46,10.47,up
160,155,20250517,10.18,10.2,up
161,155,20250523,10.09,10.04,down
162,155,20250529,10.05,10.09,up
163,155,20250530,10.09,10.0,down
164,156,20250508,7.9,7.73,down
165,156,20250516,7.64,7.72,up
166,157,20250521,7.36,7.26,down
167,157,20250529,7.15,7.13,down
168,157,20250530,7.13,7.04,down
169,158,20250520,23.73,23.84,up
170,159,20250520,5.58,5.52,down
171,159,20250527,5.44,5.39,down
172,159,20250529,5.46,5.32,down
173,159,20250530,5.32,5.36,up
174,166,20250507,4.77,4.78,up
175,166,20250508,4.78,4.74,down
176,166,20250515,4.84,4.75,down
177,166,20250521,4.78,4.74,down
178,166,20250527,4.69,4.67,down
179,166,20250528,4.67,4.71,up
180,166,20250529,4.71,4.73,up
181,166,20250530,4.73,4.79,up
182,301,20250508,9.02,9.03,up
183,301,20250509,9.03,9.16,up
184,301,20250510,9.03,9.16,up
185,301,20250513,9.42,9.37,down
186,301,20250514,9.37,9.21,down
187,301,20250515,9.21,9.1,down
188,301,20250516,9.1,9.29,up
189,301,20250519,9.29,9.2,down
190,301,20250521,9.08,8.93,down
191,301,20250522,8.93,8.9,down
192,333,20250506,74.05,74.36,up
193,333,20250508,75.0,75.8,up
194,333,20250528,79.32,78.98,down
195,333,20250530,79.06,75.91,down
196,338,20250508,15.0,15.0,up
197,338,20250514,15.29,14.93,down
198,338,20250521,15.27,15.27,up
199,338,20250523,15.21,14.99,down
200,400,20250513,22.1,22.03,down
201,400,20250519,22.01,22.25,up
202,401,20250515,4.68,4.63,down
203,401,20250520,4.67,4.67,up
204,401,20250523,4.6,4.52,down
205,401,20250524,4.6,4.52,down
206,401,20250530,4.52,4.43,down
207,402,20250508,2.82,2.74,down
208,402,20250509,2.74,2.77,up
209,402,20250516,2.75,2.85,up
210,402,20250520,2.84,2.8,down
211,402,20250521,2.8,2.73,down
212,402,20250522,2.73,2.69,down
213,403,20250512,21.99,21.82,down
214,403,20250515,21.41,21.57,up
215,403,20250522,21.62,21.73,up
216,403,20250527,21.57,21.95,up
217,404,20250509,7.32,7.38,up
218,404,20250510,7.32,7.38,up
219,407,20250513,3.33,3.32,down
220,407,20250521,3.36,3.29,down
221,408,20250507,36.59,35.81,down
222,408,20250509,36.58,36.34,down
223,408,20250520,35.7,36.36,up
224,408,20250522,36.46,36.8,up
225,408,20250523,36.8,37.55,up
226,408,20250528,36.89,36.61,down
227,409,20250513,11.4,11.65,up
228,409,20250516,11.26,11.32,up
229,410,20250529,7.05,6.96,down
230,411,20250507,10.47,10.56,up
231,411,20250508,10.56,10.59,up
232,411,20250510,10.59,10.65,up
233,411,20250514,10.6,10.63,up
234,411,20250523,10.77,10.79,up
235,411,20250528,10.89,10.94,up
236,415,20250507,3.22,3.2,down
237,415,20250509,3.17,3.21,up
238,415,20250515,3.32,3.27,down
239,415,20250521,3.45,3.45,up
240,415,20250527,3.29,3.29,up
241,417,20250508,5.89,5.7,down
242,417,20250522,5.65,5.56,down
243,419,20250515,5.44,5.38,down
244,419,20250524,5.34,5.36,up
245,420,20250516,4.58,5.04,up
246,420,20250520,4.65,4.46,down
247,420,20250521,4.46,4.28,down
248,421,20250506,6.05,6.11,up
249,421,20250508,6.14,6.17,up
250,421,20250509,6.17,6.13,down
251,421,20250510,6.17,6.13,down
252,421,20250528,6.47,6.5,up
253,421,20250529,6.5,6.49,down
254,422,20250510,11.72,11.78,up
255,422,20250513,12.14,12.69,up
256,422,20250515,12.25,12.69,up
257,422,20250516,12.69,13.21,up
258,422,20250520,13.25,13.4,up
259,422,20250523,12.37,12.52,up
260,423,20250509,55.76,55.64,down
261,423,20250514,55.8,55.95,up
262,423,20250521,56.78,56.36,down
263,423,20250527,55.37,54.9,down
264,425,20250507,9.06,8.89,down
265,425,20250508,8.89,8.91,up
266,425,20250516,8.47,8.54,up
267,425,20250521,8.45,8.47,up
268,425,20250523,8.31,8.33,up
269,425,20250528,8.14,8.27,up
270,426,20250506,13.35,13.33,down
271,426,20250515,13.42,13.66,up
272,426,20250520,13.67,13.81,up
273,426,20250522,13.58,13.89,up
274,426,20250528,13.71,13.51,down
275,428,20250506,3.15,3.22,up
276,428,20250516,3.15,3.24,up
277,429,20250514,14.17,14.13,down
278,429,20250522,14.65,14.47,down
279,430,20250516,7.41,7.6,up
280,430,20250523,7.52,7.42,down
281,488,20250514,1.88,1.89,up
282,488,20250516,1.9,1.97,up
283,498,20250514,5.84,5.79,down
284,498,20250515,5.79,5.74,down
285,498,20250520,5.81,5.83,up
286,498,20250521,5.83,5.77,down
287,498,20250522,5.77,5.75,down
288,498,20250523,5.75,5.73,down
289,498,20250530,5.82,5.82,up
290,501,20250521,9.36,9.17,down
291,503,20250507,10.73,10.83,up
292,503,20250508,10.83,10.57,down
293,504,20250513,6.67,6.77,up
294,504,20250523,6.83,6.87,up
295,504,20250528,6.93,7.03,up
296,505,20250507,6.62,6.53,down
297,505,20250529,6.45,6.41,down
298,506,20250513,7.38,7.42,up
299,506,20250514,7.42,7.33,down
300,506,20250529,7.07,7.37,up
301,507,20250507,5.34,5.33,down
302,507,20250509,5.27,5.3,up
303,507,20250515,5.74,5.6,down
304,507,20250520,5.98,6.13,up
305,509,20250520,3.4,3.34,down
306,510,20250508,4.59,4.86,up
307,510,20250513,5.08,5.41,up
308,510,20250522,4.88,5.37,up
309,510,20250527,6.27,5.8,down
310,513,20250507,34.69,34.69,up
311,513,20250510,35.25,35.09,down
312,513,20250515,35.37,35.34,down
313,513,20250523,36.65,35.86,down
314,513,20250530,36.4,37.09,up
315,514,20250508,4.55,4.58,up
316,514,20250516,4.65,4.78,up
317,516,20250507,5.18,5.23,up
318,516,20250513,5.29,5.27,down
319,516,20250514,5.27,5.2,down
320,516,20250516,5.17,5.2,up
321,516,20250521,5.23,5.13,down
322,516,20250530,5.1,5.15,up
323,518,20250507,1.89,1.85,down
324,518,20250514,2.07,2.14,up
325,518,20250522,2.14,2.08,down
326,519,20250516,16.94,17.29,up
327,520,20250515,5.5,5.24,down
328,520,20250521,4.87,4.93,up
329,521,20250509,7.81,7.87,up
330,521,20250516,7.69,7.87,up
331,521,20250521,7.86,7.73,down
332,521,20250524,7.61,7.6,down
333,523,20250530,3.38,3.43,up
334,524,20250530,11.38,11.48,up
335,525,20250529,7.07,7.33,up
336,526,20250508,53.7,53.99,up
337,526,20250514,52.9,53.6,up
338,526,20250520,55.68,54.93,down
339,526,20250524,51.61,51.26,down
340,528,20250508,10.33,10.22,down
341,528,20250515,10.03,10.03,up
342,528,20250521,10.05,10.0,down
343,528,20250527,9.79,9.85,up
344,529,20250513,6.04,6.05,up
345,529,20250530,6.11,6.18,up
346,530,20250523,5.35,5.41,up
347,531,20250507,6.31,6.3,down
348,531,20250509,6.28,6.23,down
349,532,20250527,14.9,14.54,down
350,533,20250513,5.91,5.95,up
351,534,20250510,15.76,15.63,down
352,534,20250515,15.16,15.29,up
353,534,20250528,13.89,14.2,up
354,536,20250506,4.63,4.65,up
355,536,20250507,4.65,4.68,up
356,536,20250509,4.54,4.58,up
357,536,20250520,4.75,4.59,down
358,536,20250528,4.36,4.45,up
359,537,20250508,8.6,8.59,down
360,537,20250510,8.59,8.6,up
361,537,20250512,8.6,8.56,down
362,537,20250515,8.57,8.51,down
363,537,20250517,8.51,8.54,up
364,537,20250521,8.65,8.46,down
365,537,20250524,8.4,8.44,up
366,538,20250513,57.06,57.16,up
367,538,20250514,57.16,56.97,down
368,539,20250527,4.35,4.79,up
369,539,20250529,5.27,5.2,down
370,539,20250530,5.2,5.13,down
371,541,20250516,6.43,6.44,up
372,541,20250517,6.43,6.44,up
373,541,20250521,6.41,6.24,down
374,541,20250522,6.24,6.15,down
375,541,20250529,6.3,6.19,down
376,543,20250512,7.49,7.48,down
377,543,20250519,7.43,7.48,up
378,543,20250523,7.39,7.45,up
379,544,20250520,8.32,8.32,up
380,544,20250528,8.28,8.34,up
381,544,20250530,8.31,8.33,up
382,545,20250513,2.26,2.34,up
383,545,20250520,2.35,2.42,up
384,545,20250521,2.42,2.38,down
385,546,20250510,4.35,4.37,up
386,546,20250516,4.34,4.42,up
387,546,20250517,4.34,4.42,up
388,546,20250522,4.33,4.32,down
389,546,20250528,4.61,4.58,down
390,546,20250529,4.58,4.48,down
391,546,20250530,4.48,4.45,down
392,547,20250507,7.25,7.5,up
393,547,20250510,7.4,7.65,up
